Temperature,Humidity,Wet_Bulb,Cluster
25.9,78.0,22.91,2
25.8,79.0,22.96,2
26.2,78.0,23.2,2
26.5,75.0,23.06,2
26.6,76.0,23.3,2
26.7,76.0,23.39,2
26.7,75.0,23.25,2
26.7,75.0,23.25,2
26.7,75.0,23.25,2
26.8,75.0,23.34,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.7,75.0,23.25,2
26.7,75.0,23.25,2
26.7,74.0,23.1,2
26.7,75.0,23.25,2
26.5,75.0,23.06,2
26.5,75.0,23.06,2
26.6,74.0,23.01,2
26.6,74.0,23.01,2
26.6,74.0,23.01,2
26.6,74.0,23.01,2
26.7,74.0,23.1,2
26.6,74.0,23.01,2
26.6,75.0,23.15,2
26.6,75.0,23.15,2
26.6,75.0,23.15,2
26.5,75.0,23.06,2
26.6,75.0,23.15,2
26.5,75.0,23.06,2
26.6,75.0,23.15,2
26.6,75.0,23.15,2
26.5,75.0,23.06,2
26.4,75.0,22.96,2
26.4,75.0,22.96,2
26.3,75.0,22.87,2
26.4,75.0,22.96,2
26.3,75.0,22.87,2
26.2,75.0,22.77,2
26.3,75.0,22.87,2
26.3,76.0,23.01,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.5,76.0,23.2,2
26.6,76.0,23.3,2
26.7,76.0,23.39,2
26.7,76.0,23.39,2
26.8,75.0,23.34,2
26.9,75.0,23.44,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
27.0,74.0,23.39,2
26.9,75.0,23.44,2
26.7,75.0,23.25,2
26.6,75.0,23.15,2
26.5,75.0,23.06,2
26.4,75.0,22.96,2
26.4,76.0,23.11,2
26.3,76.0,23.01,2
26.2,75.0,22.77,2
26.2,76.0,22.92,2
26.1,76.0,22.82,2
26.2,76.0,22.92,2
26.2,76.0,22.92,2
26.3,75.0,22.87,2
26.3,76.0,23.01,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.3,76.0,23.01,2
26.3,76.0,23.01,2
26.3,76.0,23.01,2
26.4,76.0,23.11,2
26.4,76.0,23.11,2
26.3,76.0,23.01,2
26.3,76.0,23.01,2
26.2,76.0,22.92,2
26.1,76.0,22.82,2
26.1,76.0,22.82,2
26.1,76.0,22.82,2
26.2,75.0,22.77,2
26.2,75.0,22.77,2
26.2,75.0,22.77,2
26.1,75.0,22.68,2
26.1,75.0,22.68,2
26.2,75.0,22.77,2
26.2,75.0,22.77,2
26.2,75.0,22.77,2
26.2,76.0,22.92,2
26.2,76.0,22.92,2
26.2,76.0,22.92,2
26.2,76.0,22.92,2
26.1,76.0,22.82,2
26.0,76.0,22.73,2
26.0,76.0,22.73,2
25.9,76.0,22.63,2
26.0,77.0,22.87,2
26.0,76.0,22.73,2
25.9,77.0,22.77,2
25.9,77.0,22.77,2
25.9,77.0,22.77,2
26.0,77.0,22.87,2
25.8,77.0,22.68,2
25.8,77.0,22.68,2
25.8,77.0,22.68,2
25.7,76.0,22.44,2
25.6,77.0,22.49,2
25.5,76.0,22.25,2
25.6,77.0,22.49,2
25.5,76.0,22.25,2
25.6,77.0,22.49,2
25.8,76.0,22.54,2
25.7,76.0,22.44,2
25.9,76.0,22.63,2
26.0,76.0,22.73,2
26.0,75.0,22.58,2
26.0,75.0,22.58,2
26.1,75.0,22.68,2
26.2,75.0,22.77,2
26.3,75.0,22.87,2
26.4,74.0,22.82,2
26.5,74.0,22.91,2
26.6,74.0,23.01,2
26.7,74.0,23.1,2
26.7,74.0,23.1,2
26.6,74.0,23.01,2
26.6,74.0,23.01,2
26.6,74.0,23.01,2
26.7,74.0,23.1,2
26.7,74.0,23.1,2
26.8,74.0,23.2,2
26.8,74.0,23.2,2
26.8,74.0,23.2,2
26.8,74.0,23.2,2
26.8,74.0,23.2,2
26.7,74.0,23.1,2
26.8,74.0,23.2,2
26.8,74.0,23.2,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.9,75.0,23.44,2
26.8,75.0,23.34,2
26.9,75.0,23.44,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.8,75.0,23.34,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
26.8,75.0,23.34,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
26.9,75.0,23.44,2
26.9,75.0,23.44,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
27.0,75.0,23.53,2
26.9,75.0,23.44,2
26.9,76.0,23.58,2
26.9,76.0,23.58,2
26.8,76.0,23.49,2
26.7,76.0,23.39,2
26.6,77.0,23.44,2
26.7,77.0,23.53,2
26.7,77.0,23.53,2
26.7,77.0,23.53,2
26.7,77.0,23.53,2
26.6,77.0,23.44,2
26.6,76.0,23.3,2
26.6,77.0,23.44,2
26.6,77.0,23.44,2
26.7,77.0,23.53,2
26.7,77.0,23.53,2
26.6,77.0,23.44,2
26.6,77.0,23.44,2
26.5,78.0,23.49,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.5,78.0,23.49,2
26.6,78.0,23.58,2
26.5,78.0,23.49,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.3,79.0,23.44,2
26.3,79.0,23.44,2
26.3,79.0,23.44,2
26.3,79.0,23.44,2
26.4,78.0,23.39,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.2,78.0,23.2,2
26.3,78.0,23.29,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.5,78.0,23.49,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.5,78.0,23.49,2
26.5,78.0,23.49,2
26.6,77.0,23.44,2
26.6,77.0,23.44,2
26.5,77.0,23.34,2
26.5,77.0,23.34,2
26.5,77.0,23.34,2
26.6,77.0,23.44,2
26.6,77.0,23.44,2
26.5,77.0,23.34,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.3,77.0,23.15,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.3,77.0,23.15,2
26.2,77.0,23.06,2
26.2,77.0,23.06,2
26.3,77.0,23.15,2
26.2,77.0,23.06,2
26.3,77.0,23.15,2
26.3,77.0,23.15,2
26.3,78.0,23.29,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.3,77.0,23.15,2
26.2,77.0,23.06,2
26.3,77.0,23.15,2
26.2,77.0,23.06,2
26.1,77.0,22.96,2
26.1,78.0,23.1,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.1,78.0,23.1,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.2,78.0,23.2,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.4,78.0,23.39,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.3,78.0,23.29,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,78.0,23.39,2
26.4,77.0,23.25,2
26.4,78.0,23.39,2
26.3,78.0,23.29,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
26.4,77.0,23.25,2
